"Name","Runtime","Notes","State","Tags","dataloader.num_workers","dataset._target_","dataset.num_classes","init_global_step","model._target_","model.checkpoint_identifier","model.clip_model_name","model.model_name","model.model_repo_path","model.num_classes","model.timm_model_name","model.whisper_model_name","num_workers","optimizer.lr","seed","testing/accuracy_top_1","testing/accuracy_top_1-epoch-mean","testing/accuracy_top_1-epoch-std","testing/accuracy_top_5","testing/accuracy_top_5-epoch-mean","testing/accuracy_top_5-epoch-std","testing/logits-epoch-mean","testing/logits-epoch-std","testing/loss","testing/loss-epoch-mean","testing/loss-epoch-std","training/accuracy_top_1","training/loss","training/lr","validation/accuracy_top_1","validation/accuracy_top_1-epoch-mean","validation/accuracy_top_1-epoch-std","validation/accuracy_top_5","validation/accuracy_top_5-epoch-mean","validation/accuracy_top_5-epoch-std","validation/logits-epoch-mean","validation/logits-epoch-std","validation/loss","validation/loss-epoch-mean","validation/loss-epoch-std"
"""athena-svhn-talip-base16-witav-42""","4173","-","finished","","16","gate.data.image.classification.svhn.build_gate_svhn_dataset","10","0","gate.models.task_specific_models.classification.tali.build_gate_tali_model","latest","openai/clip-vit-base-patch16","","Antreas/talip-base16-witav-224-2306","10","","openai/whisper-small","16","0.00001","42","97.91667175292967","95.7733383178711","1.985477328300476","100","99.56724548339844","0.6213497519493103","-0.006246880162507296","0.013459411449730396","0.09327900409698486","0.23422154784202576","0.13789863884449005","100","0.0008956799283623695","0.0000025","100","99.4073257446289","0.6912270784378052","100","99.87876892089844","0.2853368818759918","-0.0046629938296973705","0.01228101085871458","0.0006637334590777755","0.03900661692023277","0.04896154627203941"
"""athena-svhn-laion-vit-base16-224-42""","2685","-","finished","","64","gate.data.image.classification.svhn.build_gate_svhn_dataset","10","0","gate.models.task_specific_models.classification.timm.build_gate_timm_model","","openai/clip-vit-base-patch16","","","10","vit_base_patch16_clip_224.laion2b","","64","0.00001","42","95.83332824707033","95.95459747314452","1.883288025856018","97.91667175292967","99.52640533447266","0.6873688101768494","-0.038373783230781555","0.018937015905976295","0.24385559558868408","0.23430263996124268","0.13848033547401428","100","0.0012622037902474403","0.000005","100","99.4073257446289","0.7215445637702942","100","99.90570831298828","0.2955079674720764","-0.043949298560619354","0.02246733382344246","0.00006221930379979312","0.03525081276893616","0.05310678482055664"
"""athena-svhn-talip-base16-witav-2306""","3414","-","finished","","64","gate.data.image.classification.svhn.build_gate_svhn_dataset","10","0","gate.models.task_specific_models.classification.tali.build_gate_tali_model","latest","openai/clip-vit-base-patch16","","Antreas/talip-base16-witav-224-2306","10","","openai/whisper-small","64","0.00001","2306","97.91667175292967","95.53207397460938","1.884371638298035","100","99.52129364013672","0.6543460488319397","-0.10286162793636322","0.010876190848648548","0.05676768720149994","0.23618066310882568","0.13096089661121368","100","0.0027938205748796463","0.000005","100","99.51508331298828","0.7291801571846008","100","99.90570831298828","0.2567276954650879","-0.09543663263320924","0.01151279266923666","0.00019668738241307435","0.027152257040143013","0.04407551139593125"
"""athena-svhn-clip-vit-base16-224-1337""","6400","-","failed","","40","gate.data.image.classification.svhn.build_gate_svhn_dataset","10","4500.5","gate.models.task_specific_models.classification.clip.build_gate_clip_model","","","openai/clip-vit-base-patch16","","10","","","40","0.00001","1337","97.91667175292967","96.22907257080078","1.90289044380188","100","99.4944839477539","0.6547625660896301","-0.007768746465444565","0.013227320276200771","0.03428472951054573","0.22067847847938535","0.13416723906993866","100","0.00012071710079908371","0.0000025","100","99.6026382446289","0.6229731142520905","100","99.90570831298828","0.2567276954650879","-0.0007461559434887022","0.013235040009021757","0.00018398761676508002","0.02825565729290247","0.043903104960918427"
"""athena-svhn-talip-base16-witav-1337""","3963","-","finished","","16","gate.data.image.classification.svhn.build_gate_svhn_dataset","10","0","gate.models.task_specific_models.classification.tali.build_gate_tali_model","latest","openai/clip-vit-base-patch16","","Antreas/talip-base16-witav-224-2306","10","","openai/whisper-small","16","0.00001","1337","100","95.76439666748048","1.8833719491958616","100","99.49065399169922","0.6942152976989746","-0.013287602923810482","0.014011163264513016","0.003847745480015874","0.2492053210735321","0.1450837105512619","100","0.00018207821995019913","0.0000025","100","99.55549621582033","0.6397664546966553","100","99.89224243164062","0.3086479902267456","-0.010630815289914608","0.013362712226808071","0.00024939776631072164","0.02854006737470627","0.04779575020074845"
"""athena-svhn-witp-base16-wit-2306""","3452","-","finished","","64","gate.data.image.classification.svhn.build_gate_svhn_dataset","10","0","gate.models.task_specific_models.classification.tali.build_gate_tali_model","latest","openai/clip-vit-base-patch16","","Antreas/witp-base16-wit-224-42","10","","openai/whisper-small","64","0.00001","2306","95.83332824707033","96.01970672607422","1.842648983001709","100","99.4676742553711","0.7070889472961426","-0.07027438282966614","0.012052199803292751","0.12907736003398895","0.22764718532562256","0.1355094611644745","100","0.00037056487053632736","0.0000025","100","99.55549621582033","0.6228043437004089","100","99.90570831298828","0.2567276954650879","-0.06419529765844345","0.012020736932754517","0.0001093308164854534","0.02553294412791729","0.04134387895464897"
"""athena-svhn-talip-base16-wit-2306""","3786","-","finished","","16","gate.data.image.classification.svhn.build_gate_svhn_dataset","10","0","gate.models.task_specific_models.classification.tali.build_gate_tali_model","latest","openai/clip-vit-base-patch16","","Antreas/talip-base16-wit-224-2306","10","","openai/whisper-small","16","0.00001","2306","97.91667175292967","95.25634002685548","2.1095080375671387","100","99.41789245605467","0.7371829152107239","-0.06499861925840378","0.016449250280857086","0.04704667255282402","0.2481047809123993","0.1396297961473465","99.21875","0.020539287477731705","0.00001","100","99.24568939208984","0.840228796005249","100","99.90570831298828","0.2567276954650879","-0.05024091154336929","0.016744276508688927","0.0006435711984522641","0.035941097885370255","0.04249925538897514"
"""athena-svhn-resnext50-32x4d-a1-in1k-1337""","3085","-","finished","","64","gate.data.image.classification.svhn.build_gate_svhn_dataset","10","0","gate.models.task_specific_models.classification.timm.build_gate_timm_model","","openai/clip-vit-base-patch16","","","10","resnext50_32x4d.a1_in1k","","64","0.001","1337","95.83332824707033","94.58740997314452","2.0755021572113037","100","99.39874267578124","0.7360123991966248","-4.461686134338379","0.0695192813873291","0.10586422681808472","0.35120904445648193","0.18063800036907196","100","0.00025515444576740265","0.000125","100","99.4207992553711","0.6472258567810059","100","99.89224243164062","0.2717494070529938","-4.567025184631348","0.07256606221199036","0.00011730988626368344","0.03894948214292526","0.056361839175224304"
"""athena-svhn-resnext50-32x4d-a1-in1k-2306""","2401","-","finished","","16","gate.data.image.classification.svhn.build_gate_svhn_dataset","10","0","gate.models.task_specific_models.classification.timm.build_gate_timm_model","","openai/clip-vit-base-patch16","","","10","resnext50_32x4d.a1_in1k","","16","0.001","2306","95.83332824707033","93.9287109375","2.3650991916656494","100","99.37193298339844","0.7640440464019775","-4.553606033325195","0.1018608585000038","0.26614680886268616","0.30829188227653503","0.15692350268363953","99.21875","0.011522196233272552","0.001","100","98.37014770507812","1.428494930267334","100","99.8518295288086","0.3418538272380829","-4.675507545471191","0.12283899635076524","0.009445274248719215","0.06417006254196167","0.062037549912929535"
"""athena-svhn-flexivit-base-1200ep-in1k-42""","7331","-","failed","","64","gate.data.image.classification.svhn.build_gate_svhn_dataset","10","4000.5","gate.models.task_specific_models.classification.timm.build_gate_timm_model","","openai/clip-vit-base-patch16","","","10","flexivit_base.1200ep_in1k","","64","0.00001","42","100","94.52359008789062","2.2474710941314697","100","99.29534149169922","0.7519106268882751","0.02506375126540661","0.04042951390147209","0.01023829448968172","0.3604877293109894","0.1923007071018219","100","0.0005321553908288479","0.0000037500000000000005","100","99.3399772644043","0.6660209894180298","100","99.89224243164062","0.30640609562397003","-0.009493274148553606","0.03999357670545578","0.0020460148334677797","0.04095173813402653","0.04871102049946785"
