Experiment-series,Dataset-name,Experiment-name,count,testing/ensemble_3/accuracy_top_1-epoch-mean,testing/ensemble_3/accuracy_top_5-epoch-mean,testing/ensemble_3/aps-macro,testing/ensemble_3/auc-macro,testing/ensemble_3/bs-macro,testing/ensemble_3/image_to_text_accuracy-epoch-mean,testing/ensemble_3/image_to_text_accuracy_top_5-epoch-mean,testing/ensemble_3/text_to_image_accuracy-epoch-mean,testing/ensemble_3/text_to_image_accuracy_top_5-epoch-mean
hades,flickr30k,hades-flickr30k-efficientnetv2-rw-s-ra2-in1k,2,,,,,,0.07799697853624821,0.2853282131254673,0.07815707102417946,0.29460714757442474
hades,chx,hades-chx-talip-base16-witav-0,1,,,0.536475994945293,0.7686256457547735,0.18554771320753352,,,,
hades,p365,hades-p365-wide-resnet50-2-tv-in1k,2,30.131937980651855,59.935808181762695,,,,,,,
hades,dtextfs,hades-dtextfs-wits-base16-wit-0,1,0.6439976692199707,,,,,,,,
hades,flickr30k,hades-flickr30k-wide-resnet50-2-tv-in1k,2,,,,,,0.04570981999859214,0.2093348540365696,0.046544143464416265,0.20890529826283455
hades,cubfs,hades-cubfs-wide-resnet50-2-tv-in1k,1,0.7710591554641724,,,,,,,,
hades,dr,hades-dr-sam-vit-base16-224-in1k,1,,,0.4801148939305245,0.7977928910005945,0.08114833696947002,,,,
hades,winogr,hades-winogr-sam-vit-base16-224-in1k,1,,,,,,0.3584526777267456,1.0,0.4495442807674408,1.0
hades,svhn,hades-svhn-sam-vit-base16-224-in1k,2,90.97605514526367,98.74642944335938,,,,,,,
hades,flickr30k,hades-flickr30k-laion-vit-base16-224,1,,,,,,0.0385088212788105,0.13389639556407928,0.035374436527490616,0.12822823226451874
hades,nycc,hades-nycc-dino-vit-base16-224,1,,,,,,0.031395457684993744,0.11523554474115372,0.029640577733516693,0.1134149730205536
hades,p365,hades-p365-resnext50-32x4d-a1-in1k,2,48.07009506225586,80.15925216674805,,,,,,,
hades,p365,hades-p365-augreg-vit-base16-224-in1k,3,46.4126230875651,78.44878896077473,,,,,,,
hades,winogr,hades-winogr-resnext50-32x4d-a1-in1k,2,,,,,,0.5127767026424408,1.0,0.485107421875,1.0
hades,chx,hades-chx-deit3-base-patch16-224-fb-in1k,1,,,0.5635657036000399,0.7816261386993644,0.1821247343710264,,,,
hades,svhn,hades-svhn-witp-base16-wit-0,1,94.89788055419922,99.39727020263672,,,,,,,
hades,dtextfs,hades-dtextfs-dino-vit-base16-224,1,0.8435603380203247,,,,,,,,
hades,f101,hades-f101-deit3-base-patch16-224-fb-in1k,2,83.76132202148438,96.49864959716797,,,,,,,
hades,f101,hades-f101-laion-vit-base16-224,2,89.75090789794922,98.16327285766602,,,,,,,
hades,pokeset,hades-pokeset-resnet50-a1-in1k,2,,,,,,0.3415316343307495,0.5419663637876511,0.3403983414173126,0.526813268661499
hades,clvr,hades-clvr-clip-vit-base16-224,1,53.85985565185547,,,,,,,,
hades,stl10,hades-stl10-resnet50-a1-in1k,1,90.6498031616211,99.50396728515624,,,,,,,
hades,in1k,hades-in1k-talip-base16-wita-0,1,70.91392517089844,91.81785583496094,,,,,,,
hades,flickr30k,hades-flickr30k-resnet50-a1-in1k,2,,,,,,0.07286472339183092,0.2804911509156227,0.07791136112064123,0.2930198796093464
hades,nycc,hades-nycc-deit3-base-patch16-224-fb-in1k,1,,,,,,0.03168637305498123,0.11331644654273988,0.029640577733516693,0.11856231093406676
hades,cubfs,hades-cubfs-talis-base16-witav-0,1,0.5876592397689819,,,,,,,,
hades,pokeset,hades-pokeset-dino-vit-base16-224,2,,,,,,0.5985346436500549,0.7512951791286469,0.5862233936786652,0.7705474197864532
hades,pokeset,hades-pokeset-laion-vit-base16-224,2,,,,,,0.6643828451633453,0.8261236548423767,0.7057463824748993,0.8767292201519012
hades,in1k,hades-in1k-wide-resnet50-2-tv-in1k,2,4.520859956741333,13.816735744476318,,,,,,,
hades,chx,hades-chx-wide-resnet50-2-tv-in1k,1,,,0.5032674104499124,0.7546875351362571,0.19947269441697296,,,,
hades,flickr30k,hades-flickr30k-talis-base16-wita-0,1,,,,,,0.16032250225543976,0.4956218302249909,0.17621596157550812,0.5325633883476257
hades,dr,hades-dr-augreg-vit-base16-224-in1k,1,,,0.4935511676409175,0.7951222705206072,0.08815421679853969,,,,
hades,in1k,hades-in1k-laion-vit-base16-224,3,75.54241180419922,93.98471069335938,,,,,,,
hades,c100,hades-c100-resnext50-32x4d-a1-in1k,1,57.950950622558594,85.41336822509766,,,,,,,
hades,nycc,hades-nycc-talip-base16-wiva-0,1,,,,,,0.18512094020843503,0.5440457463264465,0.1938772201538086,0.5740483999252319
hades,c100,hades-c100-sam-vit-base16-224-in1k,2,27.179019451141357,46.74431896209717,,,,,,,
hades,f101,hades-f101-talip-base16-wita-0,1,86.2474365234375,96.77261352539062,,,,,,,
hades,flickr30k,hades-flickr30k-witp-base16-wit-0,1,,,,,,0.1836835891008377,0.5386267304420471,0.194637194275856,0.5682163238525391
hades,omnifs,hades-omnifs-dino-vit-base16-224,1,0.990467131137848,,,,,,,,
hades,dtextfs,hades-dtextfs-wide-resnet50-2-tv-in1k,1,0.6064984798431396,,,,,,,,
hades,p365,hades-p365-wits-base16-wit-0,1,36.420753479003906,66.93465423583984,,,,,,,
hades,clvr,hades-clvr-flexivit-base-1200ep-in1k,1,53.34367752075195,99.33206939697266,,,,,,,
hades,svhn,hades-svhn-talip-base16-wita-0,1,93.98931121826172,99.40365600585938,,,,,,,
hades,nycc,hades-nycc-clip-vit-base16-224,1,,,,,,0.06525900214910507,0.1836617887020111,0.053824134171009064,0.17367210984230042
hades,pokeset,hades-pokeset-talis-base16-witav-0,1,,,,,,0.6026785969734192,0.8303571343421936,0.6116071343421936,0.8348214030265808
hades,dr,hades-dr-talip-base16-wiva-0,1,,,0.43966704016292457,0.7754091078289939,0.09274055289125568,,,,
hades,f101,hades-f101-talis-base16-witav-0,1,30.508190155029297,56.19927215576172,,,,,,,
hades,pokeset,hades-pokeset-resnext50-32x4d-a1-in1k,2,,,,,,0.4526289701461792,0.6082830429077148,0.4777750223875046,0.6158165335655212
hades,pokeset,hades-pokeset-talip-base16-wiva-0,1,,,,,,0.8303571343421936,0.96875,0.84375,0.96875
hades,nycc,hades-nycc-witp-base16-wit-0,1,,,,,,0.18963125348091123,0.5499438643455505,0.19779276847839355,0.5843080878257751
hades,pokeset,hades-pokeset-talip-base16-wita-0,1,,,,,,0.8571428656578064,0.9776785969734192,0.8660714030265808,0.96875
hades,dr,hades-dr-talip-base16-witav-0,1,,,0.4601357440630804,0.7787687238691757,0.09269573027635254,,,,
hades,in1k,hades-in1k-talis-base16-witav-0,1,7.922394275665283,21.005834579467773,,,,,,,
hades,pokeset,hades-pokeset-witp-base16-wit-0,1,,,,,,0.84375,0.96875,0.8705357313156128,0.9821428656578064
hades,cubfs,hades-cubfs-clip-vit-base16-224,1,0.9623594284057616,,,,,,,,
hades,flickr30k,hades-flickr30k-resnext50-32x4d-a1-in1k,2,,,,,,0.0749418381601572,0.29650963097810745,0.07893525529652834,0.310675997287035
hades,stl10,hades-stl10-witp-base16-wit-0,1,95.3000030517578,99.8499984741211,,,,,,,
hades,clvr,hades-clvr-talip-base16-witav-0,0,,,,,,,,,
hades,pokeset,hades-pokeset-talis-base16-wita-0,1,,,,,,0.6116071343421936,0.8125,0.6116071343421936,0.8571428656578064
hades,chx,hades-chx-talis-base16-wita-0,1,,,0.3370887189706571,0.6277592395141254,0.24904334457825167,,,,
hades,airfs,hades-airfs-resnext50-32x4d-a1-in1k,1,0.9237775802612304,,,,,,,,
hades,svhn,hades-svhn-wide-resnet50-2-tv-in1k,2,93.30638885498048,98.96918869018555,,,,,,,
hades,stl10,hades-stl10-resnext50-32x4d-a1-in1k,1,92.90674591064452,99.72718048095705,,,,,,,
hades,cubfs,hades-cubfs-wits-base16-wit-0,1,0.8006822466850281,,,,,,,,
hades,nycc,hades-nycc-efficientnetv2-rw-s-ra2-in1k,1,,,,,,0.022738363593816757,0.09117867797613144,0.019538288936018944,0.09072353690862656
hades,svhn,hades-svhn-laion-vit-base16-224,2,95.87800598144531,99.57107925415038,,,,,,,
hades,stl10,hades-stl10-efficientnetv2-rw-s-ra2-in1k,3,86.7972895304362,99.29315439860027,,,,,,,
hades,fungifs,hades-fungifs-resnext50-32x4d-a1-in1k,1,0.8104051947593689,,,,,,,,
hades,flickr30k,hades-flickr30k-augreg-vit-base16-224-in1k,1,,,,,,0.021016329526901245,0.09444443881511688,0.02439470775425434,0.09652308374643326
hades,miniinfs,hades-miniinfs-dino-vit-base16-224,1,0.951300859451294,,,,,,,,
hades,fungifs,hades-fungifs-deit3-base-patch16-224-fb-in1k,1,0.8682411909103394,,,,,,,,
hades,nycc,hades-nycc-flexivit-base-1200ep-in1k,2,,,,,,0.09143963642418385,0.32073792442679405,0.09449487086385489,0.32544321566820145
hades,cubfs,hades-cubfs-deit3-base-patch16-224-fb-in1k,1,0.9699722528457642,,,,,,,,
hades,in1k,hades-in1k-flexivit-base-1200ep-in1k,1,83.07305145263672,95.4427719116211,,,,,,,
hades,chx,hades-chx-dino-vit-base16-224,1,,,0.5628889641484423,0.7894681156566875,0.181854117616315,,,,
hades,dr,hades-dr-resnet50-a1-in1k,1,,,0.5095316886118403,0.8100675030549533,0.07922055444415896,,,,
hades,fungifs,hades-fungifs-dino-vit-base16-224,1,0.8298466205596924,,,,,,,,
hades,winogr,hades-winogr-talip-base16-witav-0,1,,,,,,0.49462890625,1.0,0.5197482705116272,1.0
hades,vggfs,hades-vggfs-wide-resnet50-2-tv-in1k,1,0.8113660216331482,,,,,,,,
hades,miniinfs,hades-miniinfs-augreg-vit-base16-224-in1k,1,0.2476505786180496,,,,,,,,
hades,miniinfs,hades-miniinfs-wide-resnet50-2-tv-in1k,1,0.20502254366874695,,,,,,,,
hades,c100,hades-c100-wide-resnet50-2-tv-in1k,2,18.725276172161102,35.813884258270264,,,,,,,
hades,clvr,hades-clvr-dino-vit-base16-224,1,54.84587478637695,99.36206817626952,,,,,,,
hades,f101,hades-f101-sam-vit-base16-224-in1k,2,80.55288696289062,95.31192016601562,,,,,,,
hades,p365,hades-p365-laion-vit-base16-224,2,55.28326988220215,85.80610656738281,,,,,,,
hades,p365,hades-p365-sam-vit-base16-224-in1k,2,43.41592025756836,75.34200286865234,,,,,,,
hades,chx,hades-chx-sam-vit-base16-224-in1k,1,,,0.5093127932722578,0.7660145749554861,0.1988297417967087,,,,
hades,pokeset,hades-pokeset-wide-resnet50-2-tv-in1k,2,,,,,,0.2927758488804102,0.475074402987957,0.32554148882627487,0.5058524906635284
hades,nycc,hades-nycc-augreg-vit-base16-224-in1k,1,,,,,,0.02164977416396141,0.09200919419527054,0.023550111800432205,0.09475412964820862
hades,stl10,hades-stl10-sam-vit-base16-224-in1k,1,90.20337677001952,99.1691436767578,,,,,,,
hades,stl10,hades-stl10-dino-vit-base16-224,3,95.35796864827473,99.73131561279297,,,,,,,
hades,clvrmath,hades-clvrmath-clip-vit-base16-224,1,59.46637344360352,99.13194274902344,,,,,,,
hades,c100,hades-c100-flexivit-base-1200ep-in1k,3,68.5170669555664,90.58500162760417,,,,,,,
hades,omnifs,hades-omnifs-resnet50-a1-in1k,1,0.9845877289772034,,,,,,,,
hades,dr,hades-dr-flexivit-base-1200ep-in1k,1,,,0.5180364085578085,0.8085893783757708,0.0778878271173319,,,,
hades,stl10,hades-stl10-flexivit-base-1200ep-in1k,1,97.3499984741211,99.9124984741211,,,,,,,
hades,dr,hades-dr-wide-resnet50-2-tv-in1k,1,,,0.43334122481774634,0.8027833440887108,0.076708541079562,,,,
hades,dr,hades-dr-laion-vit-base16-224,1,,,0.469725071529956,0.7962145654100502,0.0832047252938297,,,,
hades,chx,hades-chx-resnext50-32x4d-a1-in1k,1,,,0.5738717534224754,0.7982900945395437,0.1757518371616669,,,,
hades,airfs,hades-airfs-resnet50-a1-in1k,1,0.9184886813163756,,,,,,,,
hades,flickr30k,hades-flickr30k-sam-vit-base16-224-in1k,1,,,,,,0.046710774302482605,0.13737329840660095,0.04315409064292908,0.1475553661584854
hades,flickr30k,hades-flickr30k-dino-vit-base16-224,1,,,,,,0.027561934664845467,0.1044669672846794,0.031329765915870667,0.11598160117864607
hades,stl10,hades-stl10-wide-resnet50-2-tv-in1k,2,75.82464981079102,98.2328872680664,,,,,,,
hades,svhn,hades-svhn-clip-vit-base16-224,2,95.79120635986328,99.5423583984375,,,,,,,
hades,vggfs,hades-vggfs-resnet50-a1-in1k,1,0.9100205302238464,,,,,,,,
hades,stl10,hades-stl10-augreg-vit-base16-224-in1k,1,93.67559814453124,99.71478271484376,,,,,,,
