,,validation/accuracy_top_1-epoch-mean,validation/accuracy_top_1-epoch-mean,validation/accuracy_top_1-epoch-mean,validation/accuracy_top_5-epoch-mean,validation/accuracy_top_5-epoch-mean,validation/accuracy_top_5-epoch-mean
,,mean,std,count,mean,std,count
Task,Name,,,,,,
svhn,resnext50-32x4d-a1,98.89547348022461,0.7429228358763171,2,99.87203598022461,0.028576237639962327,2
svhn,resnet50-a1,99.18507639567058,0.0880726288567754,3,99.88101577758789,0.025499234515657658,3
svhn,laion-vit-base16,99.47916666666667,0.12443212703200594,3,99.91917928059895,0.013469696224979332,3
svhn,dino-vit-base16,99.03017171223958,0.6554680890991246,3,99.90121968587239,0.06644572167136362,3
svhn,efficientnetv2-rw-s-ra2,87.87176513671875,16.73655554018623,3,98.33752187093098,2.2624497379198454,3
svhn,deit3-base-patch16-224-fb,99.25017929077148,0.24107871176058054,3,99.88774871826172,0.0411506011426012,3
svhn,clip-vit-base16,99.31752904256184,0.25202566670328314,3,99.91020075480144,0.007777834079558182,3
svhn,augreg-vit-base16-224,98.86853281656902,0.1687766343745177,3,99.8069330851237,0.07418345421975876,3
svhn,witp-base16,99.46120707194011,0.1406299475814058,3,99.88326009114583,0.050996789681256614,3
svhn,flexivit-base-1200ep,99.35344886779785,0.019051724226076452,2,99.88550567626953,0.009527210812190575,2
svhn,wits-base16,97.83629608154298,0.7359365742671514,2,99.6767234802246,0.019049026827771754,2
