,,validation/accuracy_top_1-epoch-mean,validation/accuracy_top_1-epoch-mean,validation/accuracy_top_1-epoch-mean,validation/accuracy_top_5-epoch-mean,validation/accuracy_top_5-epoch-mean,validation/accuracy_top_5-epoch-mean
,,mean,std,count,mean,std,count
Task,Name,,,,,,
c100,augreg-vit-base16-224,55.05054982503256,0.2362264501570345,3,80.5736821492513,0.8293499782718955,3
c100,wits-base16,24.83532460530599,0.5962864558328245,3,46.052389780680336,0.1898016810384138,3
c100,witp-base16,70.53615061442058,1.580901778772361,3,90.3844985961914,1.0651663601815222,3
c100,wide-resnet50-2-tv,37.44038497077094,18.154392281743327,3,61.08494128121271,26.635458858516802,3
c100,sam-vit-base16-224,51.86580912272135,0.15118458333187101,3,77.7941157023112,0.7619220914743019,3
c100,resnet50-a1,62.78875605265299,0.514350901444502,3,87.5268071492513,0.5274142731057867,3
c100,resnext50-32x4d-a1,65.0806770324707,2.966612091023265,3,88.23427157931856,1.0653565137004477,3
c100,flexivit-base-1200ep,71.30591074625652,2.5586185987979086,3,91.65517679850261,1.185650973165969,3
c100,efficientnetv2-rw-s-ra2,27.798253395822314,15.096206309780442,3,51.22441793017918,21.36107333783812,3
c100,dino-vit-base16,63.66651280721029,0.4081548758306652,3,87.33072916666667,0.6078421009479427,3
c100,deit3-base-patch16-224-fb,66.59888331095378,1.683638376952954,3,89.5998026529948,1.0626027462447758,3
c100,clip-vit-base16,72.90977223714192,0.7536088688780653,3,92.08678181966148,0.2284887658402874,3
c100,laion-vit-base16,72.22311401367188,2.0450067511635965,3,92.01861317952473,1.1454854718294931,3
clvr,laion-vit-base16,54.48357264200846,0.10899373577005393,3,99.40871175130208,0.019497558223974604,3
clvr,sam-vit-base16-224,53.94613520304362,0.30501178572547555,3,99.38982645670573,0.022674003909146347,3
clvr,resnext50-32x4d-a1,43.11907068888346,1.0475254092600517,3,96.4591547648112,0.6751765709021835,3
clvr,resnet50-a1,42.3764533996582,0.17815035245784683,3,96.02101389567058,0.4986420462954065,3
clvr,flexivit-base-1200ep,54.89250183105469,1.3530170572742328,3,99.42259979248047,0.05551727027689255,3
clvr,wide-resnet50-2-tv,42.08397674560547,0.0771024331414678,2,95.72409057617188,0.09897293859595535,2
clvr,dino-vit-base16,56.28362019856771,2.3580106599449526,3,99.42664082845052,0.0332147549265253,3
clvr,deit3-base-patch16-224-fb,54.50149917602539,0.3209915216213947,3,99.42584991455078,0.050544602303937425,3
clvr,clip-vit-base16,53.53875605265299,0.24445255470033767,3,,,0
clvr,augreg-vit-base16-224,54.71366628011068,0.3679431954342813,3,99.4462381998698,0.026867426392027122,3
clvr,efficientnetv2-rw-s-ra2,53.65160624186198,1.398055568067334,3,99.13964080810547,0.16755426198469592,3
clvrmath,augreg-vit-base16-224,57.256690979003906,0.1675677774844031,2,98.85997772216797,0.018968104878615763,2
clvrmath,clip-vit-base16,77.9696273803711,,1,99.83235168457033,,1
clvrmath,laion-vit-base16,71.85500717163086,10.484296283866632,2,99.7254753112793,0.2080503312412914,2
clvrmath,resnet50-a1,50.92819213867188,,1,97.5908660888672,,1
clvrmath,sam-vit-base16-224,59.40961583455404,0.22262819935688827,3,99.01114400227864,0.018025097036248473,3
f101,wits-base16,93.0414047241211,0.2179219423549033,3,95.68519592285156,0.11133968874620713,3
f101,witp-base16,98.60894266764323,0.3790782932636353,3,99.65277608235677,0.0866963441403627,3
f101,wide-resnet50-2-tv,95.13407643636067,3.0351421249352506,3,98.52647527058919,0.45012942286206525,3
f101,sam-vit-base16-224,97.16957092285156,0.1418769536498844,3,99.09476979573567,0.10524708479435708,3
f101,resnext50-32x4d-a1,98.07046508789062,0.11189120328207007,3,99.36197916666667,0.013019561953860831,3
f101,resnet50-a1,97.79457346598308,0.06565784962518614,3,99.37065887451172,0.04572899147065212,3
f101,efficientnetv2-rw-s-ra2,95.21645100911458,0.6793580864562209,3,98.56336720784505,0.21487667976509375,3
f101,flexivit-base-1200ep,98.19633314344618,0.4159046891233466,3,99.46035851372612,0.12347638159948741,3
f101,dino-vit-base16,98.09188079833984,0.2638870119881019,3,99.39453125,0.08463287353515625,3
f101,deit3-base-patch16-224-fb,97.0536117553711,1.1482119712529186,3,99.20884259541829,0.2434210525662977,3
f101,clip-vit-base16,98.60309092203777,0.19717694006983416,3,99.68966929117839,0.06900028740955866,3
f101,augreg-vit-base16-224,97.62341817220052,0.15669232589271118,3,99.21441141764323,0.019889374027664795,3
f101,laion-vit-base16,98.6821117401123,0.2269051902756153,3,99.67447980244954,0.05675511105476563,3
in1k,resnext50-32x4d-a1,92.22811381022136,0.5884314822381027,3,98.61864471435547,0.1360871582821225,3
in1k,wits-base16,9.343270659446716,2.175240883802943,3,23.28191836675008,4.783461570787952,3
in1k,witp-base16,81.76143179999457,0.7187614748601951,3,96.2328283521864,0.2530376537354125,3
in1k,wide-resnet50-2-tv,34.90892537434896,4.770555376864482,3,61.144290924072266,5.1131864104025775,3
in1k,sam-vit-base16-224,88.28863334655762,0.15087357937662949,2,97.30525016784668,0.0457613622391883,2
in1k,resnet50-a1,88.10463078816731,0.32697553643495,3,97.46435165405273,0.0963789293069137,3
in1k,efficientnetv2-rw-s-ra2,92.19573932223851,0.32131203694498167,3,99.03999455769856,0.07426291158261407,3
in1k,flexivit-base-1200ep,93.99732462565105,0.12626093972337568,3,99.00814565022786,0.07266140197126429,3
in1k,laion-vit-base16,70.58909073885944,16.99118325957657,3,84.79394200444221,19.084180298651912,3
in1k,dino-vit-base16,79.14219919840495,0.7698393676765334,3,94.35629357231987,0.43315903722532395,3
